ID de usuario,Hora,Cuenta,Operación,Moneda,Cambiar,Comentario
522756567,24-12-30 05:51:13,Spot,Simple Earn Flexible Interest,USDT,0.00290719,Binance Earn
522756567,24-12-31 05:55:57,Spot,Simple Earn Flexible Interest,USDT,0.00290755,Binance Earn
522756567,25-01-01 06:54:30,Spot,Simple Earn Flexible Interest,USDT,0.00290794,Binance Earn
522756567,25-01-02 05:42:08,Spot,Simple Earn Flexible Interest,USDT,0.00290835,Binance Earn
522756567,25-01-03 05:08:34,Spot,Simple Earn Flexible Interest,USDT,0.00290876,Binance Earn
522756567,25-01-04 05:42:37,Spot,Simple Earn Flexible Interest,USDT,0.00290922,Binance Earn
522756567,25-01-05 05:09:06,Spot,Simple Earn Flexible Interest,USDT,0.00290964,Binance Earn
522756567,25-01-06 05:27:49,Spot,Simple Earn Flexible Interest,USDT,0.00291006,Binance Earn
522756567,25-01-07 05:03:11,Spot,Simple Earn Flexible Interest,USDT,0.00291049,Binance Earn
522756567,25-01-08 05:03:46,Spot,Simple Earn Flexible Interest,USDT,0.00291092,Binance Earn
522756567,25-01-09 05:10:04,Spot,Simple Earn Flexible Interest,USDT,0.00291134,Binance Earn
522756567,25-01-10 05:08:59,Spot,Simple Earn Flexible Interest,USDT,0.00291175,Binance Earn
522756567,25-01-11 05:41:41,Spot,Simple Earn Flexible Interest,USDT,0.00291213,Binance Earn
522756567,25-01-12 05:05:34,Spot,Simple Earn Flexible Interest,USDT,0.00291247,Binance Earn
522756567,25-01-13 05:09:11,Spot,Simple Earn Flexible Interest,USDT,0.0029128,Binance Earn
522756567,25-01-14 05:04:38,Spot,Simple Earn Flexible Interest,USDT,0.00291312,Binance Earn
522756567,25-01-15 05:04:17,Spot,Simple Earn Flexible Interest,USDT,0.00291346,Binance Earn
522756567,25-01-16 05:41:47,Spot,Simple Earn Flexible Interest,USDT,0.00291377,Binance Earn
522756567,25-01-17 05:14:00,Spot,Simple Earn Flexible Interest,USDT,0.0029141,Binance Earn
522756567,25-01-18 05:52:25,Spot,Simple Earn Flexible Interest,USDT,0.00291445,Binance Earn
522756567,25-01-19 05:44:31,Spot,Simple Earn Flexible Interest,USDT,0.00291482,Binance Earn
522756567,25-01-20 06:02:32,Spot,Simple Earn Flexible Interest,USDT,0.0029152,Binance Earn
522756567,25-01-21 05:45:40,Spot,Simple Earn Flexible Interest,USDT,0.00291581,Binance Earn
522756567,25-01-22 05:53:03,Spot,Simple Earn Flexible Interest,USDT,0.00291636,Binance Earn
522756567,25-01-23 12:04:32,Spot,Simple Earn Flexible Interest,USDT,0.00291673,Binance Earn
522756567,25-01-24 05:54:38,Spot,Simple Earn Flexible Interest,USDT,0.00291717,Binance Earn
522756567,25-01-25 14:06:44,Spot,Simple Earn Flexible Interest,USDT,0.00291754,Binance Earn
522756567,25-01-26 05:14:54,Spot,Simple Earn Flexible Interest,USDT,0.00291787,Binance Earn
522756567,25-01-27 06:29:23,Spot,Simple Earn Flexible Interest,USDT,0.00291819,Binance Earn
522756567,25-01-28 05:00:20,Spot,Simple Earn Flexible Interest,USDT,0.00291851,Binance Earn
522756567,25-01-29 05:59:37,Spot,Simple Earn Flexible Interest,USDT,0.00291881,Binance Earn
522756567,25-01-30 05:23:00,Spot,Simple Earn Flexible Interest,USDT,0.00291908,Binance Earn
522756567,25-01-31 06:45:44,Spot,Simple Earn Flexible Interest,USDT,0.00291936,Binance Earn
522756567,25-02-01 05:14:17,Spot,Simple Earn Flexible Interest,USDT,0.00291964,Binance Earn
522756567,25-02-02 05:20:43,Spot,Simple Earn Flexible Interest,USDT,0.00291994,Binance Earn
522756567,25-02-03 05:12:24,Spot,Simple Earn Flexible Interest,USDT,0.00292025,Binance Earn
522756567,25-02-04 06:55:00,Spot,Simple Earn Flexible Interest,USDT,0.00292054,Binance Earn
522756567,25-02-05 05:17:26,Spot,Simple Earn Flexible Interest,USDT,0.00292078,Binance Earn
522756567,25-02-06 05:12:02,Spot,Simple Earn Flexible Interest,USDT,0.00292098,Binance Earn
522756567,25-02-07 05:12:57,Spot,Simple Earn Flexible Interest,USDT,0.00292116,Binance Earn
522756567,25-02-07 13:29:20,Spot,Simple Earn Flexible Redemption,GMT,1.02574955,Binance Earn
522756567,25-02-07 13:29:43,Spot,Simple Earn Flexible Redemption,USDT,21.32737552,Binance Earn
522756567,25-02-07 13:30:26,Spot,Binance Convert,USDC,0.06691229,
522756567,25-02-07 13:30:27,Spot,Binance Convert,GMT,-1.02574955,
522756567,25-02-07 13:30:58,Spot,Binance Convert,USDC,21.38435232,
522756567,25-02-07 13:30:59,Spot,Binance Convert,USDT,-21.44977709,
522756567,25-02-07 13:32:02,Spot,Simple Earn Flexible Subscription,USDC,-21.45126461,Binance Earn
522756567,25-02-09 05:26:05,Spot,Simple Earn Flexible Interest,USDC,0.00411402,Binance Earn
522756567,25-02-09 06:46:57,Spot,Simple Earn Flexible Subscription,USDC,-0.00411402,Binance Earn
522756567,25-02-10 05:16:06,Spot,Simple Earn Flexible Interest,USDC,0.00411423,Binance Earn
522756567,25-02-10 06:48:49,Spot,Simple Earn Flexible Subscription,USDC,-0.00411423,Binance Earn
522756567,25-02-11 05:09:22,Spot,Simple Earn Flexible Interest,USDC,0.00411523,Binance Earn
522756567,25-02-11 06:46:12,Spot,Simple Earn Flexible Subscription,USDC,-0.00411523,Binance Earn
