"Date","Received Quantity","Received Currency","Sent Quantity","Sent Currency","Fee Amount","Fee Currency","Tag"
"12/31/2023 00:00:06","","","0.007564902261145575","USDT","0","",""
"12/31/2023 00:11:24","0.03600000000000000000","ETH","82.61429000000000000000","USDT","0.01652283","USDT",""
"12/31/2023 08:00:06","","","0.00954922432752","USDT","0","",""
"12/31/2023 16:00:06","","","0.010260144135038","USDT","0","",""
"12/31/2023 23:18:24","89.65867000000000000000","USDT","0.03900000000000000000","ETH","0.01793170","USDT",""
"01/01/2024 00:00:07","","","0.010993261592676","USDT","0","",""
"01/01/2024 00:04:16","0.02400000000000000000","ETH","55.52216000000000000000","USDT","0.01110444","USDT",""
"01/01/2024 08:00:07","","","0.01143135224229328","USDT","0","",""
"01/01/2024 16:00:07","","","0.010928082131824","USDT","0","",""
"01/01/2024 23:42:54","62.48597000000000000000","USDT","0.02700000000000000000","ETH","0.01249719","USDT",""
"01/02/2024 00:00:07","","","0.004993078623532","USDT","0","",""
"01/02/2024 00:15:26","0.04100000000000000000","ETH","98.08229000000000000000","USDT","0.02249172","USDT",""
"01/02/2024 08:00:06","0.003775941313570455","USDT","","","0","",""
"01/02/2024 12:56:16","71.77639000000000000000","USDT","0.03000000000000000000","ETH","0.01435528","USDT",""
"01/21/2024 21:18:00","0.02900000000000000000","ETH","67.34431000000000000000","USDT","0.01346883","USDT",""
"01/21/2024 23:11:28","2.46363000000000000000","USDT","0.00100000000000000000","ETH","0.00049273","USDT",""
"01/22/2024 00:00:03","","","0.000491404","USDT","0","",""
"01/22/2024 00:16:41","0.02500000000000000000","ETH","59.27766000000000000000","USDT","0.01185548","USDT",""
"01/22/2024 08:00:03","","","0.00121037","USDT","0","",""
"01/22/2024 16:00:02","","","0.002141304048","USDT","0","",""
"01/22/2024 23:17:07","64.06350000000000000000","USDT","0.02700000000000000000","ETH","0.01281264","USDT",""
"01/23/2024 00:00:04","","","0.003702928","USDT","0","",""
"01/23/2024 00:05:39","0.01200000000000000000","ETH","26.94745000000000000000","USDT","0.00538946","USDT",""
"01/23/2024 08:00:02","","","0.00348543543","USDT","0","",""
"01/23/2024 14:11:03","83.06607000000000000000","USDT","0.03800000000000000000","ETH","0.03551151","USDT",""
"08/10/2024 06:00:00","0.0004510422445662","USDT","","","","",""
"08/10/2024 07:00:00","0.0004510427594546","USDT","","","","",""
"08/10/2024 08:00:00","0.0004510432743436","USDT","","","","",""
"08/10/2024 09:00:00","0.0004510437892332","USDT","","","","",""
"08/10/2024 10:00:00","0.0004510443041234","USDT","","","","",""
"08/10/2024 11:00:00","0.0004510448190141","USDT","","","","",""
"08/10/2024 12:00:00","0.0004510453339055","USDT","","","","",""
"08/10/2024 13:00:00","0.0004510458487974","USDT","","","","",""
"08/10/2024 14:00:00","0.0004510463636899","USDT","","","","",""
"08/10/2024 15:00:00","0.0004510468785830","USDT","","","","",""
"08/10/2024 16:00:00","0.0004510473934767","USDT","","","","",""
"08/10/2024 17:00:00","0.0004510479083710","USDT","","","","",""
"08/10/2024 18:00:00","0.0004510484232659","USDT","","","","",""
"08/10/2024 19:00:00","0.0004510489381613","USDT","","","","",""
"08/10/2024 20:00:00","0.0004510494530574","USDT","","","","",""
"08/10/2024 21:00:00","0.0004510499679540","USDT","","","","",""
"08/10/2024 22:00:00","0.0004510504828513","USDT","","","","",""
"08/10/2024 23:00:00","0.0004510509977491","USDT","","","","",""
"08/11/2024 00:00:00","0.0004510515126475","USDT","","","","",""
"08/11/2024 01:00:00","0.0004510520275465","USDT","","","","",""
"08/11/2024 02:00:00","0.0004510525424460","USDT","","","","",""
"08/11/2024 03:00:00","0.0004510530573462","USDT","","","","",""
"08/11/2024 04:00:00","0.0004510535722469","USDT","","","","",""
"08/11/2024 05:00:00","0.0004510540871483","USDT","","","","",""
"08/11/2024 06:00:00","0.0004510546020502","USDT","","","","",""
"08/11/2024 07:00:00","0.0004510551169527","USDT","","","","",""
"08/11/2024 08:00:00","0.0004510556318558","USDT","","","","",""
"08/11/2024 09:00:00","0.0004510561467595","USDT","","","","",""
"08/11/2024 10:00:00","0.0004510566616638","USDT","","","","",""
"08/11/2024 11:00:00","0.0004510571765687","USDT","","","","",""
"08/11/2024 12:00:00","0.0004510576914741","USDT","","","","",""
"08/11/2024 13:00:00","0.0004510582063801","USDT","","","","",""
"08/11/2024 14:00:00","0.0004510587212868","USDT","","","","",""
"08/11/2024 15:00:00","0.0004510592361940","USDT","","","","",""
"08/11/2024 16:00:00","0.0004510597511018","USDT","","","","",""
