"date(UTC+0)","coin","amount","tag","comment"
"2024-12-31 00:04:24","USDT","0.00009276553","CommissionIn",""
"2024-12-31 01:08:04","USDT","0.00027781563","CommissionIn",""
"2024-12-31 02:05:37","USDT","0.00036913825","CommissionIn",""
"2024-12-31 04:05:14","USDT","0.00018480961","CommissionIn",""
"2024-12-31 05:04:48","USDT","0.00018529058","CommissionIn",""
"2024-12-31 07:05:48","USDT","0.00027853707","CommissionIn",""
"2024-12-31 09:10:38","USDT","0.00103340675","CommissionIn",""
"2024-12-31 11:04:58","USDT","0.00028190379","CommissionIn",""
"2024-12-31 13:05:19","USDT","0.00037875748","CommissionIn",""
"2024-12-31 14:08:40","USDT","0.00076424847","CommissionIn",""
"2024-12-31 15:05:57","USDT","0.00076617232","CommissionIn",""
"2024-12-31 16:06:39","USDT","0.00085869737","CommissionIn",""
"2024-12-31 17:06:37","USDT","0.00037971941","CommissionIn",""
"2024-12-31 18:07:34","USDT","0.00112617228","CommissionIn",""
"2024-12-31 19:03:52","USDT","0.00018817634","CommissionIn",""
"2024-12-31 20:04:01","USDT","0.00037587172","CommissionIn",""
"2024-12-31 21:06:14","USDT","0.00046911821","CommissionIn",""
"2024-12-31 23:04:35","USDT","0.00009348697","CommissionIn",""
"2025-01-01 00:04:14","USDT","0.00018721442","CommissionIn",""
"2025-01-01 01:05:14","USDT","0.00047056109","CommissionIn",""
"2025-01-01 02:03:57","USDT","0.00018769538","CommissionIn",""
"2025-01-01 03:02:52","USDT","0.00009396793","CommissionIn",""
"2025-01-01 05:04:06","USDT","0.00009372745","CommissionIn",""
"2025-01-01 09:07:18","USDT","0.00009348697","CommissionIn",""
"2025-01-01 10:06:34","USDT","0.00046575149","CommissionIn",""
"2025-01-01 11:05:01","USDT","0.00009348697","CommissionIn",""
"2025-01-01 12:04:07","USDT","0.00018673346","CommissionIn",""
"2025-01-01 13:07:28","USDT","0.00028142283","CommissionIn",""
"2025-01-01 14:05:40","USDT","0.00018817634","CommissionIn",""
"2025-01-01 15:04:35","USDT","0.00056452902","CommissionIn",""
"2025-01-01 16:06:11","USDT","0.00028262523","CommissionIn",""
