"Date","Received Quantity","Received Currency","Sent Quantity","Sent Currency","Fee Amount","Fee Currency","Tag"
"12/31/2024 00:00:00","0.0001500551369603","USDT","","","","",""
"12/31/2024 00:04:24","0.00009276553","USDT","","","0","",""
"12/31/2024 00:43:22","0.00041000000000000000","BTC","38.63747310000000000000","USDT","0.00000041","BTC",""
"12/31/2024 01:00:00","0.0001502937790549","USDT","","","","",""
"12/31/2024 01:08:04","0.00027781563","USDT","","","0","",""
"12/31/2024 02:00:00","0.0001428785455185","USDT","","","","",""
"12/31/2024 02:05:37","0.00036913825","USDT","","","0","",""
"12/31/2024 03:00:00","0.0001424253567038","USDT","","","","",""
"12/31/2024 04:00:00","0.0001419216631753","USDT","","","","",""
"12/31/2024 04:05:14","0.00018480961","USDT","","","0","",""
"12/31/2024 05:00:00","0.0001416608611897","USDT","","","","",""
"12/31/2024 05:04:48","0.00018529058","USDT","","","0","",""
"12/31/2024 06:00:00","0.0001413686759277","USDT","","","","",""
"12/31/2024 07:00:00","0.0001419935032791","USDT","","","","",""
"12/31/2024 07:05:48","0.00027853707","USDT","","","0","",""
"12/31/2024 08:00:00","0.0001425378102091","USDT","","","","",""
"12/31/2024 09:00:00","0.0001393800502465","USDT","","","","",""
"12/31/2024 09:10:38","0.00103340675","USDT","","","0","",""
"12/31/2024 10:00:00","0.0001437996783862","USDT","","","","",""
"12/31/2024 11:00:00","0.000143174546618","USDT","","","","",""
"12/31/2024 11:04:58","0.00028190379","USDT","","","0","",""
"12/31/2024 12:00:00","0.0001445348756466","USDT","","","","",""
"12/31/2024 13:00:00","0.0001450996176511","USDT","","","","",""
"12/31/2024 13:05:19","0.00037875748","USDT","","","0","",""
"12/31/2024 14:00:00","0.0001460423593989","USDT","","","","",""
"12/31/2024 14:08:40","0.00076424847","USDT","","","0","",""
"12/31/2024 15:00:00","0.0001476305040413","USDT","","","","",""
"12/31/2024 15:05:57","0.00076617232","USDT","","","0","",""
"12/31/2024 16:00:00","0.0001491572593707","USDT","","","","",""
"12/31/2024 16:06:39","0.00085869737","USDT","","","0","",""
"12/31/2024 17:00:00","0.0001501054193133","USDT","","","","",""
"12/31/2024 17:06:37","0.00037971941","USDT","","","0","",""
"12/31/2024 18:00:00","0.0001461780944931","USDT","","","","",""
"12/31/2024 18:07:34","0.00112617228","USDT","","","0","",""
"12/31/2024 19:00:00","0.0001451381768112","USDT","","","","",""
"12/31/2024 19:03:52","0.00018817634","USDT","","","0","",""
"12/31/2024 20:00:00","0.0001438608023319","USDT","","","","",""
"12/31/2024 20:04:01","0.00037587172","USDT","","","0","",""
"12/31/2024 21:00:00","0.0001442645271978","USDT","","","","",""
"12/31/2024 21:06:14","0.00046911821","USDT","","","0","",""
"12/31/2024 22:00:00","0.0001452850231615","USDT","","","","",""
"12/31/2024 23:00:00","0.0001456464363619","USDT","","","","",""
"12/31/2024 23:04:35","0.00009348697","USDT","","","0","",""
"12/31/2024 23:36:35","32.96572980000000000000","USDT","0.00035000000000000000","BTC","0.01648288","USDT",""
"01/01/2025 00:00:00","0.000148716509002","USDT","","","","",""
"01/01/2025 00:04:14","0.00018721442","USDT","","","0","",""
"01/01/2025 00:16:22","0.00013000000000000000","BTC","12.19178290000000000000","USDT","0.00000013","BTC",""
"01/01/2025 01:00:00","0.0001512570681259","USDT","","","","",""
"01/01/2025 01:05:14","0.00047056109","USDT","","","0","",""
"01/01/2025 02:00:00","0.0001458342579062","USDT","","","","",""
"01/01/2025 02:03:57","0.00018769538","USDT","","","0","",""
"01/01/2025 03:00:00","0.0001438296060352","USDT","","","","",""
"01/01/2025 03:02:52","0.00009396793","USDT","","","0","",""
"01/01/2025 04:00:00","0.0001434405250806","USDT","","","","",""
"01/01/2025 05:00:00","0.0001435427277703","USDT","","","","",""
"01/01/2025 05:04:06","0.00009372745","USDT","","","0","",""
"01/01/2025 06:00:00","0.0001436489836077","USDT","","","","",""
"01/01/2025 07:00:00","0.0001435642040207","USDT","","","","",""
"01/01/2025 08:00:00","0.000143048264337","USDT","","","","",""
"01/01/2025 09:00:00","0.0001426455545748","USDT","","","","",""
"01/01/2025 09:07:18","0.00009348697","USDT","","","0","",""
"01/01/2025 10:00:00","0.0001422155783706","USDT","","","","",""
"01/01/2025 10:06:34","0.00046575149","USDT","","","0","",""
"01/01/2025 11:00:00","0.0001418033319196","USDT","","","","",""
"01/01/2025 11:05:01","0.00009348697","USDT","","","0","",""
"01/01/2025 12:00:00","0.0001418768755479","USDT","","","","",""
"01/01/2025 12:04:07","0.00018673346","USDT","","","0","",""
